3,67.74903,286.0197,65.4797
6,255.1541,342.593,266.3253
9,125.4411,313.3683,221.4693
12,65.37693,218.9332,313.0845
15,65.63686,151.0515,75.98077
18,270.8735,245.9125,100.6407
21,289.1008,270.522,142.6908
24,202.3663,328.856,105.024
27,214.2145,329.166,367.9583
30,313.4498,205.8213,184.9417
3,273.1839,125.8164,150.8326
6,302.9821,79.07532,211.3197
9,220.0971,65.42925,313.3755
3,65.75772,315.4112,155.4013
6,281.8013,318.4281,313.1818
9,125.5898,273.0589,183.5253
12,65.85109,283.1297,235.0687
15,199.5496,65.86122,217.0163
18,329.2196,342.6907,342.7261
21,197.5283,297.2558,68.02768
24,356.5337,329.2488,282.026
27,115.7689,181.575,67.46127
30,65.76376,65.82983,329.2855
33,126.0984,126.4861,66.89423
3,248.4995,125.3095,312.9199
6,329.1869,181.6888,282.1101
9,329.1439,66.21291,62.6475
12,78.99617,65.66721,356.3195
15,183.0581,65.81105,116.1465
18,297.395,216.722,210.6724
21,240.9143,150.4694,257.584
24,65.85011,328.9641,198.309
27,327.0037,184.9443,213.9474
30,150.6344,282.1321,138.2105
33,211.0721,181.8065,134.6719
36,166.4574,150.5384,313.1982
39,181.3544,160.6699,65.71164
42,65.92403,125.1795,356.4462
45,126.9614,192.5658,125.5644
48,83.23059,157.2218,65.88788
51,65.80019,267.0137,329.0838
54,192.6091,65.6171,125.6859
57,67.32253,65.53723,270.153
60,313.3998,265.9898,66.75047
63,138.9875,126.2898,125.6991
66,274.097,297.3364,192.2332
69,313.4026,65.65758,342.4946
72,248.3042,67.33878,329.3882
75,297.5659,65.56003,214.1562
78,224.0264,125.0484,283.0067
81,67.34902,261.2466,216.7858
84,175.6556,81.56293,270.4221
87,329.4017,65.9044,134.7281
90,154.6489,150.1036,191.4476
93,125.3982,313.3857,196.8593
96,282.2877,270.9465,125.3702
99,82.94646,269.7701,210.3347
102,308.0983,65.6539,261.5848
105,65.68156,329.2041,125.3229
108,75.06941,342.6694,65.6897
111,140.4799,65.96072,185.0824
114,286.2491,65.63095,185.6986
117,157.9864,270.4855,313.171
120,263.8623,65.77206,100.7617
123,326.8698,125.188,172.9573
126,65.80281,356.253,83.29384
129,249.7935,266.1397,273.123
132,209.8575,323.8972,181.4796
135,330.4983,288.6915,257.2056
138,254.0216,329.0924,329.2322
141,65.67719,329.1851,245.9572
144,65.55177,65.98074,126.0112
147,181.6613,166.1051,116.5017
150,65.33037,300.1897,288.6216
153,313.487,356.3084,156.8057
156,239.2076,329.299,297.4056
159,65.58508,192.9816,270.2744
162,65.56291,207.1255,132.4211
